id,TEMPERATURE_C,HUMIDITY_percentage,ALTITUDE_m,PRESSURE_hPa,PM10,PM25,PM100,P03um_perdecilitre,P05um_perdecilitre,P10um_perdecilitre,P25um_perdecilitre,P50um_perdecilitre,P100um_perdecilitre,CO2_ppm,TVOC_ppb,AIR_QUALITY_ppm,GAS_RESISTANCE_KOhms,TIME
65,24.83,73.70,245.40,98412.00,3.00,3.00,3.00,585.00,180.00,7.00,0.00,0.00,0.00,414.00,2.00,1569.00,23828.00,"2022-04-28 06:21:37"
66,24.82,73.83,245.31,98413.00,3.00,3.00,4.00,573.00,170.00,6.00,2.00,2.00,0.00,414.00,2.00,1574.00,23951.00,"2022-04-28 06:22:04"
67,24.81,73.84,245.23,98414.00,3.00,3.00,4.00,597.00,175.00,9.00,2.00,2.00,0.00,414.00,2.00,1565.00,24062.00,"2022-04-28 06:22:31"
68,24.81,73.83,243.44,98435.00,3.00,3.00,3.00,558.00,170.00,6.00,0.00,0.00,0.00,405.00,0.00,1584.00,12488.00,"2022-04-28 06:27:43"
69,24.82,73.79,242.76,98443.00,2.00,4.00,4.00,669.00,205.00,27.00,0.00,0.00,0.00,400.00,0.00,1569.00,16453.00,"2022-04-28 06:28:10"
70,24.82,73.72,242.42,98447.00,3.00,3.00,3.00,663.00,193.00,2.00,0.00,0.00,0.00,400.00,0.00,1557.00,18926.00,"2022-04-28 06:28:37"
71,24.82,73.63,242.16,98450.00,4.00,4.00,4.00,627.00,198.00,6.00,0.00,0.00,0.00,405.00,0.00,1555.00,20534.00,"2022-04-28 06:29:04"
72,24.82,73.71,241.91,98453.00,2.00,2.00,3.00,576.00,184.00,8.00,2.00,2.00,0.00,418.00,1.00,1557.00,21512.00,"2022-04-28 06:29:32"
73,24.83,73.71,241.65,98456.00,3.00,3.00,3.00,615.00,190.00,10.00,0.00,0.00,0.00,414.00,2.00,1553.00,22297.00,"2022-04-28 06:29:59"
74,24.83,73.71,241.65,98456.00,2.00,2.00,3.00,432.00,133.00,9.00,2.00,0.00,0.00,414.00,2.00,1553.00,22786.00,"2022-04-28 06:30:26"
75,24.83,73.65,241.39,98459.00,2.00,3.00,3.00,651.00,200.00,10.00,0.00,0.00,0.00,414.00,2.00,1565.00,23115.00,"2022-04-28 06:30:53"
76,24.83,73.72,241.22,98461.00,2.00,3.00,3.00,519.00,161.00,9.00,0.00,0.00,0.00,409.00,1.00,1554.00,23455.00,"2022-04-28 06:31:20"
77,24.83,73.76,241.14,98462.00,3.00,3.00,3.00,630.00,195.00,6.00,0.00,0.00,0.00,409.00,1.00,1557.00,23695.00,"2022-04-28 06:31:47"
78,24.82,73.73,241.14,98462.00,1.00,2.00,2.00,498.00,151.00,11.00,0.00,0.00,0.00,414.00,2.00,1552.00,23924.00,"2022-04-28 06:32:14"
79,24.82,73.73,241.05,98463.00,1.00,1.00,1.00,438.00,127.00,4.00,0.00,0.00,0.00,409.00,1.00,1552.00,24034.00,"2022-04-28 06:32:41"
80,24.82,73.78,240.97,98464.00,1.00,1.00,2.00,516.00,147.00,8.00,2.00,0.00,0.00,409.00,1.00,1550.00,24188.00,"2022-04-28 06:33:09"
81,24.82,73.71,240.80,98466.00,1.00,1.00,3.00,534.00,163.00,4.00,2.00,2.00,0.00,409.00,1.00,1546.00,24287.00,"2022-04-28 06:33:36"
82,24.83,73.75,240.71,98467.00,1.00,2.00,2.00,549.00,162.00,10.00,0.00,0.00,0.00,400.00,0.00,1549.00,24315.00,"2022-04-28 06:34:03"
83,24.83,73.65,240.63,98468.00,1.00,2.00,2.00,495.00,160.00,2.00,0.00,0.00,0.00,400.00,0.00,1552.00,24487.00,"2022-04-28 06:34:30"
84,24.83,73.64,240.63,98468.00,1.00,1.00,1.00,453.00,141.00,7.00,0.00,0.00,0.00,400.00,0.00,1547.00,24676.00,"2022-04-28 06:34:57"
85,24.83,73.69,240.46,98470.00,3.00,4.00,4.00,648.00,198.00,16.00,0.00,0.00,0.00,400.00,0.00,1546.00,24749.00,"2022-04-28 06:35:24"
86,24.83,73.66,240.46,98470.00,2.00,2.00,2.00,432.00,125.00,2.00,0.00,0.00,0.00,405.00,0.00,1552.00,24646.00,"2022-04-28 06:35:51"
87,24.82,73.68,240.29,98472.00,1.00,1.00,1.00,510.00,146.00,4.00,0.00,0.00,0.00,423.00,3.00,1548.00,24808.00,"2022-04-28 06:36:18"
88,24.83,73.71,240.20,98473.00,2.00,2.00,2.00,531.00,162.00,6.00,0.00,0.00,0.00,423.00,3.00,1522.00,24867.00,"2022-04-28 06:36:46"
89,24.82,73.71,240.12,98474.00,0.00,0.00,1.00,369.00,114.00,2.00,2.00,0.00,0.00,414.00,2.00,1547.00,24957.00,"2022-04-28 06:37:13"
90,24.81,73.65,239.95,98476.00,1.00,1.00,1.00,510.00,161.00,8.00,0.00,0.00,0.00,409.00,1.00,1549.00,25199.00,"2022-04-28 06:37:40"
91,24.82,73.73,239.86,98477.00,1.00,1.00,1.00,498.00,155.00,4.00,0.00,0.00,0.00,405.00,0.00,1547.00,25138.00,"2022-04-28 06:38:07"
92,24.83,73.65,239.78,98478.00,1.00,2.00,2.00,528.00,161.00,12.00,0.00,0.00,0.00,409.00,1.00,1552.00,25108.00,"2022-04-28 06:38:35"
93,24.85,73.41,239.78,98478.00,1.00,1.00,1.00,456.00,138.00,12.00,0.00,0.00,0.00,405.00,0.00,1552.00,25214.00,"2022-04-28 06:39:01"
94,24.85,73.44,239.69,98479.00,2.00,2.00,3.00,603.00,177.00,8.00,2.00,0.00,0.00,414.00,2.00,1549.00,25306.00,"2022-04-28 06:39:28"
95,24.88,73.52,239.43,98482.00,1.00,1.00,3.00,507.00,160.00,6.00,2.00,2.00,0.00,418.00,2.00,1546.00,25168.00,"2022-04-28 06:39:55"
96,24.91,73.32,239.35,98483.00,2.00,2.00,2.00,501.00,153.00,4.00,0.00,0.00,0.00,400.00,0.00,1514.00,25168.00,"2022-04-28 06:40:23"
97,24.90,73.36,239.26,98484.00,2.00,3.00,3.00,564.00,176.00,14.00,0.00,0.00,0.00,400.00,0.00,1551.00,25229.00,"2022-04-28 06:40:50"
98,24.90,73.45,239.18,98485.00,2.00,2.00,2.00,591.00,182.00,9.00,0.00,0.00,0.00,400.00,0.00,1555.00,25199.00,"2022-04-28 06:41:17"
99,24.90,73.55,239.01,98487.00,2.00,2.00,2.00,609.00,191.00,4.00,0.00,0.00,0.00,400.00,0.00,1549.00,25275.00,"2022-04-28 06:41:44"
100,24.89,73.47,238.92,98488.00,3.00,4.00,4.00,630.00,205.00,7.00,0.00,0.00,0.00,408.00,1.00,1551.00,25383.00,"2022-04-28 06:42:11"
101,24.90,73.29,238.92,98488.00,3.00,3.00,3.00,540.00,173.00,11.00,0.00,0.00,0.00,400.00,0.00,1535.00,25414.00,"2022-04-28 06:42:38"
102,24.93,73.28,238.75,98490.00,2.00,2.00,3.00,609.00,190.00,18.00,2.00,0.00,0.00,408.00,1.00,1545.00,25508.00,"2022-04-28 06:43:05"
103,24.92,73.22,238.75,98490.00,2.00,2.00,2.00,645.00,198.00,4.00,0.00,0.00,0.00,409.00,1.00,1550.00,25539.00,"2022-04-28 06:43:33"
104,24.90,73.31,238.84,98489.00,3.00,3.00,3.00,621.00,199.00,4.00,0.00,0.00,0.00,413.00,1.00,1535.00,25492.00,"2022-04-28 06:44:00"
105,24.89,73.39,238.67,98491.00,3.00,3.00,3.00,624.00,206.00,12.00,0.00,0.00,0.00,414.00,2.00,1543.00,25508.00,"2022-04-28 06:44:27"
106,24.89,73.41,238.67,98491.00,1.00,1.00,1.00,387.00,126.00,0.00,0.00,0.00,0.00,414.00,2.00,1544.00,25445.00,"2022-04-28 06:44:54"
107,24.87,73.45,238.58,98492.00,3.00,3.00,3.00,567.00,177.00,10.00,0.00,0.00,0.00,409.00,1.00,1546.00,25618.00,"2022-04-28 06:45:21"
108,24.89,73.40,238.50,98493.00,1.00,1.00,2.00,486.00,151.00,6.00,2.00,0.00,0.00,400.00,0.00,1549.00,25618.00,"2022-04-28 06:45:49"
109,24.90,73.38,238.58,98492.00,3.00,3.00,3.00,561.00,174.00,10.00,0.00,0.00,0.00,400.00,0.00,1520.00,25649.00,"2022-04-28 06:46:16"
110,24.89,73.41,238.58,98492.00,2.00,2.00,3.00,576.00,185.00,9.00,2.00,2.00,0.00,400.00,0.00,1535.00,25729.00,"2022-04-28 06:46:43"
111,24.88,73.44,238.41,98494.00,1.00,1.00,1.00,435.00,134.00,2.00,0.00,0.00,0.00,422.00,1.00,1534.00,25618.00,"2022-04-28 06:47:10"
112,24.86,73.58,238.41,98494.00,1.00,2.00,2.00,465.00,148.00,14.00,0.00,0.00,0.00,422.00,3.00,1543.00,25777.00,"2022-04-28 06:47:37"
113,24.85,73.59,238.33,98495.00,3.00,3.00,4.00,720.00,210.00,11.00,2.00,2.00,0.00,405.00,0.00,1534.00,25825.00,"2022-04-28 06:48:04"
114,24.85,73.54,238.33,98495.00,3.00,3.00,5.00,615.00,186.00,13.00,4.00,2.00,0.00,417.00,2.00,1543.00,25761.00,"2022-04-28 06:48:32"
115,24.86,73.45,238.24,98496.00,3.00,3.00,3.00,579.00,182.00,5.00,0.00,0.00,0.00,418.00,2.00,1531.00,25841.00,"2022-04-28 06:48:59"
116,24.86,73.60,238.24,98496.00,4.00,4.00,5.00,663.00,208.00,4.00,2.00,0.00,0.00,413.00,1.00,1535.00,25905.00,"2022-04-28 06:49:26"
117,24.85,73.55,238.16,98497.00,1.00,2.00,3.00,528.00,167.00,19.00,2.00,2.00,0.00,418.00,2.00,1552.00,25986.00,"2022-04-28 06:49:53"
118,24.84,73.51,238.07,98498.00,1.00,1.00,2.00,495.00,151.00,4.00,2.00,0.00,0.00,418.00,2.00,1535.00,25970.00,"2022-04-28 06:50:20"
119,24.84,73.43,238.16,98497.00,2.00,2.00,2.00,492.00,156.00,2.00,0.00,0.00,0.00,418.00,2.00,1543.00,26002.00,"2022-04-28 06:50:47"
120,24.84,73.46,238.07,98498.00,2.00,2.00,2.00,570.00,176.00,11.00,0.00,0.00,0.00,413.00,1.00,1545.00,26018.00,"2022-04-28 06:51:14"
121,24.84,73.62,238.16,98497.00,1.00,1.00,1.00,513.00,162.00,2.00,0.00,0.00,0.00,408.00,1.00,1549.00,26018.00,"2022-04-28 06:51:41"
122,24.85,73.60,238.16,98497.00,2.00,3.00,3.00,516.00,165.00,4.00,0.00,0.00,0.00,409.00,1.00,1547.00,25921.00,"2022-04-28 06:52:08"
123,24.84,73.49,238.07,98498.00,2.00,2.00,2.00,552.00,167.00,6.00,0.00,0.00,0.00,400.00,0.00,1545.00,26067.00,"2022-04-28 06:52:36"
124,24.82,73.66,238.16,98497.00,1.00,1.00,1.00,549.00,167.00,2.00,0.00,0.00,0.00,409.00,1.00,1549.00,26067.00,"2022-04-28 06:53:03"
125,24.83,73.54,238.07,98498.00,1.00,1.00,1.00,459.00,144.00,5.00,0.00,0.00,0.00,400.00,0.00,1545.00,26116.00,"2022-04-28 06:53:30"
126,24.84,73.52,238.07,98498.00,2.00,2.00,2.00,615.00,183.00,2.00,0.00,0.00,0.00,400.00,0.00,1535.00,26182.00,"2022-04-28 06:53:57"
127,24.84,73.51,238.07,98498.00,2.00,2.00,2.00,543.00,175.00,4.00,0.00,0.00,0.00,400.00,0.00,1535.00,26365.00,"2022-04-28 06:54:24"
128,24.82,73.63,237.99,98499.00,4.00,4.00,4.00,675.00,193.00,4.00,0.00,0.00,0.00,411.00,1.00,1535.00,26248.00,"2022-04-28 06:54:51"
129,24.81,73.62,237.99,98499.00,1.00,1.00,1.00,408.00,116.00,4.00,0.00,0.00,0.00,414.00,2.00,1535.00,26199.00,"2022-04-28 06:55:18"
130,24.81,73.63,237.99,98499.00,2.00,2.00,2.00,375.00,120.00,6.00,0.00,0.00,0.00,407.00,1.00,1533.00,26298.00,"2022-04-28 06:55:46"
131,24.82,73.63,237.99,98499.00,3.00,3.00,4.00,693.00,217.00,13.00,2.00,0.00,0.00,409.00,1.00,1535.00,26232.00,"2022-04-28 06:56:13"
132,24.83,73.62,237.82,98501.00,3.00,3.00,3.00,573.00,174.00,6.00,0.00,0.00,0.00,405.00,0.00,1535.00,26315.00,"2022-04-28 06:56:40"
133,24.82,73.56,237.90,98500.00,2.00,2.00,2.00,384.00,120.00,6.00,0.00,0.00,0.00,414.00,2.00,1535.00,26381.00,"2022-04-28 06:57:07"
134,24.83,73.52,237.99,98499.00,1.00,2.00,3.00,429.00,125.00,7.00,2.00,0.00,0.00,407.00,1.00,1533.00,26232.00,"2022-04-28 06:57:34"
135,24.84,73.66,237.90,98500.00,2.00,3.00,3.00,525.00,158.00,11.00,0.00,0.00,0.00,416.00,2.00,1534.00,26265.00,"2022-04-28 06:58:01"
136,24.84,73.49,237.82,98501.00,2.00,3.00,3.00,504.00,159.00,9.00,0.00,0.00,0.00,414.00,2.00,1533.00,26265.00,"2022-04-28 06:58:28"
137,24.84,73.47,237.82,98501.00,2.00,2.00,2.00,486.00,148.00,9.00,0.00,0.00,0.00,400.00,0.00,1532.00,26331.00,"2022-04-28 06:58:55"
138,24.83,73.47,237.73,98502.00,2.00,2.00,2.00,444.00,140.00,7.00,0.00,0.00,0.00,402.00,0.00,1535.00,25414.00,"2022-04-28 06:59:27"
139,24.82,73.48,237.73,98502.00,3.00,3.00,3.00,579.00,182.00,11.00,0.00,0.00,0.00,400.00,0.00,1535.00,25857.00,"2022-04-28 06:59:54"
140,24.81,73.62,237.73,98502.00,0.00,0.00,0.00,414.00,126.00,0.00,0.00,0.00,0.00,400.00,0.00,1532.00,26067.00,"2022-04-28 07:00:21"
141,24.81,73.60,237.73,98502.00,1.00,1.00,1.00,504.00,147.00,7.00,0.00,0.00,0.00,400.00,0.00,1535.00,26281.00,"2022-04-28 07:00:49"
142,24.81,73.70,237.73,98502.00,3.00,3.00,3.00,687.00,210.00,9.00,0.00,0.00,0.00,407.00,1.00,1520.00,26331.00,"2022-04-28 07:01:16"
143,24.81,73.59,237.73,98502.00,4.00,6.00,8.00,783.00,242.00,42.00,8.00,2.00,0.00,400.00,0.00,1533.00,26215.00,"2022-04-28 07:01:43"
144,24.80,73.53,237.73,98502.00,1.00,1.00,1.00,393.00,127.00,2.00,0.00,0.00,0.00,405.00,0.00,1534.00,25825.00,"2022-04-28 07:02:10"
145,24.80,73.62,237.64,98503.00,3.00,3.00,3.00,609.00,183.00,14.00,0.00,0.00,0.00,400.00,0.00,1547.00,26018.00,"2022-04-28 07:02:37"
146,24.81,73.58,237.73,98502.00,2.00,3.00,3.00,642.00,192.00,13.00,0.00,0.00,0.00,418.00,2.00,1551.00,26018.00,"2022-04-28 07:03:04"
147,24.83,73.67,237.73,98502.00,2.00,3.00,3.00,531.00,165.00,13.00,0.00,0.00,0.00,405.00,0.00,1555.00,26002.00,"2022-04-28 07:03:32"
148,24.82,73.67,237.82,98501.00,1.00,1.00,1.00,519.00,150.00,4.00,0.00,0.00,0.00,405.00,0.00,1546.00,25986.00,"2022-04-28 07:03:59"
149,24.81,73.70,237.73,98502.00,2.00,3.00,3.00,669.00,202.00,11.00,0.00,0.00,0.00,409.00,1.00,1551.00,26051.00,"2022-04-28 07:04:26"
150,24.83,73.66,237.90,98500.00,2.00,2.00,2.00,462.00,141.00,2.00,0.00,0.00,0.00,409.00,1.00,1552.00,26298.00,"2022-04-28 07:04:53"
151,24.84,73.57,237.82,98501.00,3.00,3.00,3.00,600.00,184.00,2.00,0.00,0.00,0.00,418.00,2.00,1520.00,26381.00,"2022-04-28 07:05:20"
152,24.84,73.51,237.90,98500.00,3.00,4.00,4.00,633.00,192.00,24.00,0.00,0.00,0.00,409.00,1.00,1550.00,26298.00,"2022-04-28 07:05:47"
153,24.84,73.54,237.99,98499.00,3.00,4.00,4.00,579.00,182.00,17.00,0.00,0.00,0.00,408.00,1.00,1550.00,26398.00,"2022-04-28 07:06:14"
154,24.82,73.69,237.99,98499.00,3.00,3.00,3.00,624.00,175.00,11.00,0.00,0.00,0.00,413.00,1.00,1552.00,26398.00,"2022-04-28 07:06:42"
155,24.81,73.68,237.99,98499.00,2.00,2.00,2.00,459.00,135.00,0.00,0.00,0.00,0.00,422.00,3.00,1535.00,26398.00,"2022-04-28 07:07:09"
